"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"dense",8,1,11,8,13,"normal_gamma:5;ridge:3","dense_50_200_60_strong","ridge",0.035,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,1,11,8,13,"normal_gamma:8","dense_50_200_60_strong","ridge5",0.035,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,11,8,13,"hs:1;normal_gamma:5;ridge:2","dense_50_200_60_strong","ridge",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,11,8,13,"hs:1;normal_gamma:6;ridge:1","dense_50_200_60_strong","ridge",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,11,8,13,"hs:1;normal_gamma:6;ridge:1","dense_50_200_60_strong","ridge5",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,11,8,13,"hs:1;normal_gamma:7","dense_50_200_60_strong","ridge5",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:3;ridge:4","dense_50_200_60_weak","ridge",0.035,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:3;ridge:4","dense_50_200_60_weak","ridge",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:3;ridge:4","dense_50_200_60_weak","ridge",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:4;ridge:3","dense_50_200_60_weak","ridge5",0.035,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:3;ridge:4","dense_50_200_60_weak","ridge5",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:4;ridge:3","dense_50_200_60_weak","ridge5",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.75,14,8,17,"hs:2;normal_gamma:2;ridge:4","dense_50_200_60_weak","ridge",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.75,14,8,17,"hs:2;normal_gamma:4;ridge:2","dense_50_200_60_weak","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.625,11,8,13,"hs:3;normal_gamma:4;ridge:1","dense_50_200_60_strong","ridge",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",8,0.5,11,8,13,"hs:4;normal_gamma:4","dense_50_200_60_strong","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
