"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","alpha","beta"
"dense",3,1,10.6666666666667,8,13,"normal_gamma:1;ridge:2","dense_50_200_60_strong","ridge",0.075,0.5,0.5
"dense",3,1,10.6666666666667,8,13,"normal_gamma:1;ridge:2","dense_50_200_60_strong","ridge",0.075,0.5,2
"dense",3,1,10.6666666666667,8,13,"normal_gamma:1;ridge:2","dense_50_200_60_strong","ridge",0.1,0.5,0.5
"dense",3,1,10.6666666666667,8,13,"normal_gamma:1;ridge:2","dense_50_200_60_strong","ridge",0.1,0.5,2
"dense",3,1,10.6666666666667,8,13,"normal_gamma:1;ridge:2","dense_50_200_60_strong","ridge",0.15,0.5,0.5
"dense",3,1,10.6666666666667,8,13,"normal_gamma:1;ridge:2","dense_50_200_60_strong","ridge",0.15,0.5,2
"dense",3,1,15,11,17,"normal_gamma:2;ridge:1","dense_50_200_60_weak","ridge",0.075,0.5,0.5
"dense",3,1,15,11,17,"normal_gamma:2;ridge:1","dense_50_200_60_weak","ridge",0.075,0.5,2
"dense",3,1,15,11,17,"normal_gamma:2;ridge:1","dense_50_200_60_weak","ridge",0.1,0.5,0.5
"dense",3,1,15,11,17,"normal_gamma:2;ridge:1","dense_50_200_60_weak","ridge",0.1,0.5,2
"dense",3,1,15,11,17,"normal_gamma:2;ridge:1","dense_50_200_60_weak","ridge",0.15,0.5,0.5
"dense",3,1,15,11,17,"normal_gamma:2;ridge:1","dense_50_200_60_weak","ridge",0.15,0.5,2
"dense",3,1,15,11,17,"normal_gamma:3","dense_50_200_60_weak","student_t",0.075,0.5,0.5
"dense",3,1,15,11,17,"normal_gamma:3","dense_50_200_60_weak","student_t",0.075,0.5,2
"dense",3,1,15,11,17,"normal_gamma:3","dense_50_200_60_weak","student_t",0.1,0.5,0.5
"dense",3,1,15,11,17,"normal_gamma:3","dense_50_200_60_weak","student_t",0.1,0.5,2
"sparse",3,1,11.3333333333333,10,13,"normal_gamma_sparse:3","sparse_50_200_10_strong","four_way",0.075,0.5,2
"sparse",3,1,11.3333333333333,10,13,"normal_gamma_sparse:3","sparse_50_200_10_strong","four_way",0.1,0.5,0.5
"sparse",3,1,11.3333333333333,10,13,"normal_gamma_sparse:3","sparse_50_200_10_strong","four_way",0.1,0.5,2
"sparse",3,1,11.3333333333333,10,13,"normal_gamma_sparse:3","sparse_50_200_10_strong","four_way",0.15,0.5,0.5
"sparse",3,1,11.3333333333333,10,13,"normal_gamma_sparse:3","sparse_50_200_10_strong","four_way",0.15,0.5,2
"sparse",3,1,9.66666666666667,8,11,"normal_gamma_sparse:3","sparse_50_200_10_weak","four_way",0.1,0.5,0.5
"sparse",3,1,9.66666666666667,8,11,"normal_gamma_sparse:3","sparse_50_200_10_weak","four_way",0.1,0.5,2
"sparse",3,1,9.66666666666667,8,11,"normal_gamma_sparse:3","sparse_50_200_10_weak","four_way",0.15,0.5,0.5
"sparse",3,1,9.66666666666667,8,11,"normal_gamma_sparse:3","sparse_50_200_10_weak","four_way",0.15,0.5,2
"sparse",3,1,9.66666666666667,8,11,"hs:3","sparse_50_200_10_weak","student_t",0.15,0.5,0.5
"sparse",3,1,9.66666666666667,8,11,"hs:3","sparse_50_200_10_weak","student_t",0.15,0.5,2
"dense",3,0.666666666666667,10.6666666666667,8,13,"hs:1;normal_gamma:2","dense_50_200_60_strong","student_t",0.075,0.5,0.5
"dense",3,0.666666666666667,10.6666666666667,8,13,"hs:1;normal_gamma:2","dense_50_200_60_strong","student_t",0.075,0.5,2
"dense",3,0.666666666666667,10.6666666666667,8,13,"hs:1;normal_gamma:2","dense_50_200_60_strong","student_t",0.1,0.5,0.5
"dense",3,0.666666666666667,10.6666666666667,8,13,"hs:1;normal_gamma:2","dense_50_200_60_strong","student_t",0.1,0.5,2
"sparse",3,0.666666666666667,11.3333333333333,10,13,"normal_gamma:1;normal_gamma_sparse:2","sparse_50_200_10_strong","four_way",0.075,0.5,0.5
"sparse",3,0.666666666666667,11.3333333333333,10,13,"hs:2;normal_gamma:1","sparse_50_200_10_strong","student_t",0.1,0.5,0.5
"sparse",3,0.666666666666667,11.3333333333333,10,13,"hs:2;normal_gamma:1","sparse_50_200_10_strong","student_t",0.1,0.5,2
"sparse",3,0.666666666666667,11.3333333333333,10,13,"hs:2;normal_gamma:1","sparse_50_200_10_strong","student_t",0.15,0.5,0.5
"sparse",3,0.666666666666667,11.3333333333333,10,13,"hs:2;normal_gamma:1","sparse_50_200_10_strong","student_t",0.15,0.5,2
"sparse",3,0.666666666666667,9.66666666666667,8,11,"normal_gamma_sparse:2;student_t:1","sparse_50_200_10_weak","four_way",0.075,0.5,0.5
"sparse",3,0.666666666666667,9.66666666666667,8,11,"normal_gamma_sparse:2;student_t:1","sparse_50_200_10_weak","four_way",0.075,0.5,2
"sparse",3,0.666666666666667,9.66666666666667,8,11,"hs:2;normal_gamma:1","sparse_50_200_10_weak","student_t",0.075,0.5,0.5
"sparse",3,0.666666666666667,9.66666666666667,8,11,"hs:2;normal_gamma:1","sparse_50_200_10_weak","student_t",0.075,0.5,2
"sparse",3,0.666666666666667,9.66666666666667,8,11,"hs:2;normal_gamma:1","sparse_50_200_10_weak","student_t",0.1,0.5,0.5
"sparse",3,0.666666666666667,9.66666666666667,8,11,"hs:2;normal_gamma:1","sparse_50_200_10_weak","student_t",0.1,0.5,2
"dense",3,0.333333333333333,10.6666666666667,8,13,"hs:2;normal_gamma:1","dense_50_200_60_strong","student_t",0.15,0.5,0.5
"dense",3,0.333333333333333,10.6666666666667,8,13,"hs:2;normal_gamma:1","dense_50_200_60_strong","student_t",0.15,0.5,2
"dense",3,0.333333333333333,15,11,17,"normal_gamma:1;normal_gamma_sparse:2","dense_50_200_60_weak","four_way",0.075,0.5,0.5
"dense",3,0.333333333333333,15,11,17,"normal_gamma:1;normal_gamma_sparse:2","dense_50_200_60_weak","four_way",0.075,0.5,2
"dense",3,0.333333333333333,15,11,17,"normal_gamma:1;normal_gamma_sparse:2","dense_50_200_60_weak","four_way",0.1,0.5,0.5
"dense",3,0.333333333333333,15,11,17,"normal_gamma:1;normal_gamma_sparse:2","dense_50_200_60_weak","four_way",0.1,0.5,2
"dense",3,0.333333333333333,15,11,17,"hs:2;normal_gamma:1","dense_50_200_60_weak","student_t",0.15,0.5,0.5
"dense",3,0.333333333333333,15,11,17,"hs:2;normal_gamma:1","dense_50_200_60_weak","student_t",0.15,0.5,2
"sparse",3,0.333333333333333,11.3333333333333,10,13,"hs:1;normal_gamma:2","sparse_50_200_10_strong","student_t",0.075,0.5,0.5
"sparse",3,0.333333333333333,11.3333333333333,10,13,"hs:1;normal_gamma:2","sparse_50_200_10_strong","student_t",0.075,0.5,2
"dense",3,0,10.6666666666667,8,13,"normal_gamma_sparse:3","dense_50_200_60_strong","four_way",0.075,0.5,0.5
"dense",3,0,10.6666666666667,8,13,"normal_gamma_sparse:3","dense_50_200_60_strong","four_way",0.075,0.5,2
"dense",3,0,10.6666666666667,8,13,"normal_gamma_sparse:3","dense_50_200_60_strong","four_way",0.1,0.5,0.5
"dense",3,0,10.6666666666667,8,13,"normal_gamma_sparse:3","dense_50_200_60_strong","four_way",0.1,0.5,2
"dense",3,0,10.6666666666667,8,13,"normal_gamma_sparse:3","dense_50_200_60_strong","four_way",0.15,0.5,0.5
"dense",3,0,10.6666666666667,8,13,"normal_gamma_sparse:3","dense_50_200_60_strong","four_way",0.15,0.5,2
"dense",3,0,15,11,17,"normal_gamma_sparse:3","dense_50_200_60_weak","four_way",0.15,0.5,0.5
"dense",3,0,15,11,17,"normal_gamma_sparse:3","dense_50_200_60_weak","four_way",0.15,0.5,2
"sparse",3,0,11.3333333333333,10,13,"normal_gamma:3","sparse_50_200_10_strong","ridge",0.075,0.5,0.5
"sparse",3,0,11.3333333333333,10,13,"normal_gamma:3","sparse_50_200_10_strong","ridge",0.075,0.5,2
"sparse",3,0,11.3333333333333,10,13,"normal_gamma:3","sparse_50_200_10_strong","ridge",0.1,0.5,0.5
"sparse",3,0,11.3333333333333,10,13,"normal_gamma:3","sparse_50_200_10_strong","ridge",0.1,0.5,2
"sparse",3,0,11.3333333333333,10,13,"normal_gamma:3","sparse_50_200_10_strong","ridge",0.15,0.5,0.5
"sparse",3,0,11.3333333333333,10,13,"normal_gamma:3","sparse_50_200_10_strong","ridge",0.15,0.5,2
"sparse",3,0,9.66666666666667,8,11,"normal_gamma:1;ridge:2","sparse_50_200_10_weak","ridge",0.075,0.5,0.5
"sparse",3,0,9.66666666666667,8,11,"normal_gamma:1;ridge:2","sparse_50_200_10_weak","ridge",0.075,0.5,2
"sparse",3,0,9.66666666666667,8,11,"normal_gamma:1;ridge:2","sparse_50_200_10_weak","ridge",0.1,0.5,0.5
"sparse",3,0,9.66666666666667,8,11,"normal_gamma:1;ridge:2","sparse_50_200_10_weak","ridge",0.1,0.5,2
"sparse",3,0,9.66666666666667,8,11,"normal_gamma:1;ridge:2","sparse_50_200_10_weak","ridge",0.15,0.5,0.5
"sparse",3,0,9.66666666666667,8,11,"normal_gamma:1;ridge:2","sparse_50_200_10_weak","ridge",0.15,0.5,2
