"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","alpha","beta","selection_score"
"dense",10,1,14.1,8,17,"normal_gamma:10","dense_50_200_60_weak","student_t",0.2,"n",0.5,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.2,"n",0.5,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.2,"n",0.5,0.5,"joint"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.25,"n",0.5,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.25,"n",0.5,0.5,"joint"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.2,"n",0.5,0.5,"joint"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.25,"n",0.5,0.5,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.25,"n",0.5,0.5,"joint"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.3,"n",0.5,0.5,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.3,"n",0.5,0.5,"joint"
"dense",10,0.9,13.5,10,18,"hs:1;normal_gamma:9","dense_50_50_40_weak","student_t",0.3,"n",0.5,0.5,"beta_prior"
"dense",10,0.9,13.5,10,18,"hs:1;normal_gamma:9","dense_50_50_40_weak","student_t",0.3,"n",0.5,0.5,"joint"
"dense",10,0.8,11,8,13,"hs:2;normal_gamma:8","dense_50_200_60_strong","student_t",0.2,"n",0.5,0.5,"beta_prior"
"dense",10,0.7,11,8,13,"hs:3;normal_gamma:7","dense_50_200_60_strong","student_t",0.2,"n",0.5,0.5,"joint"
"dense",10,0.7,11,8,13,"hs:3;normal_gamma:7","dense_50_200_60_strong","student_t",0.25,"n",0.5,0.5,"beta_prior"
"dense",10,0.6,11,8,13,"hs:4;normal_gamma:6","dense_50_200_60_strong","student_t",0.25,"n",0.5,0.5,"joint"
"sparse",10,0.6,10.3,8,13,"hs:6;normal_gamma:4","sparse_50_200_10_strong","student_t",0.3,"n",0.5,0.5,"joint"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.2,"n",0.5,0.5,"beta_prior"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:5","sparse_50_200_10_strong","student_t",0.2,"n",0.5,0.5,"joint"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.25,"n",0.5,0.5,"beta_prior"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:5","sparse_50_200_10_strong","student_t",0.25,"n",0.5,0.5,"joint"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.3,"n",0.5,0.5,"beta_prior"
"dense",10,0.4,11,8,13,"hs:6;normal_gamma:4","dense_50_200_60_strong","student_t",0.3,"n",0.5,0.5,"beta_prior"
"dense",10,0.4,11,8,13,"hs:6;normal_gamma:4","dense_50_200_60_strong","student_t",0.3,"n",0.5,0.5,"joint"
"sparse",10,0.4,9.9,5,13,"hs:4;normal_gamma:6","sparse_50_200_10_weak","student_t",0.2,"n",0.5,0.5,"beta_prior"
"sparse",10,0.4,9.9,5,13,"hs:4;normal_gamma:6","sparse_50_200_10_weak","student_t",0.2,"n",0.5,0.5,"joint"
"sparse",10,0.4,9.9,5,13,"hs:4;normal_gamma:6","sparse_50_200_10_weak","student_t",0.25,"n",0.5,0.5,"beta_prior"
"sparse",10,0.4,9.9,5,13,"hs:4;normal_gamma:6","sparse_50_200_10_weak","student_t",0.25,"n",0.5,0.5,"joint"
"sparse",10,0.4,9.9,5,13,"hs:4;normal_gamma:6","sparse_50_200_10_weak","student_t",0.3,"n",0.5,0.5,"beta_prior"
"sparse",10,0.4,9.9,5,13,"hs:4;normal_gamma:6","sparse_50_200_10_weak","student_t",0.3,"n",0.5,0.5,"joint"
