"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"dense",10,1,11,8,13,"normal_gamma:7;ridge:3","dense_50_200_60_strong","ridge_student_t",0.04,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,11,8,13,"normal_gamma:7;ridge:3","dense_50_200_60_strong","ridge_student_t",0.05,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:4;ridge:6","dense_50_200_60_weak","ridge",0.04,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:4;ridge:6","dense_50_200_60_weak","ridge",0.05,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:4;ridge:6","dense_50_200_60_weak","ridge",0.06,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:5;ridge:5","dense_50_200_60_weak","ridge_student_t",0.04,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:4;ridge:6","dense_50_200_60_weak","ridge_student_t",0.05,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:4;ridge:6","dense_50_200_60_weak","ridge_student_t",0.06,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:6;ridge:4","dense_50_200_60_weak","ridge20",0.04,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:7;ridge:3","dense_50_200_60_weak","ridge5",0.04,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:7;ridge:3","dense_50_200_60_weak","ridge5",0.05,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,14.1,8,17,"normal_gamma:7;ridge:3","dense_50_200_60_weak","ridge5",0.06,"p","olasso",0.5,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:3;ridge:7","dense_50_50_40_weak","ridge",0.04,"p","olasso",0.5,0.5,"beta_prior"
