"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"dense",20,1,13.05,9,18,"normal_gamma:7;ridge:13","pos_dense50","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,13.05,9,18,"normal_gamma:7;ridge:13","pos_dense50","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,13.05,9,18,"normal_gamma:7;ridge:13","pos_dense50","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,13.05,9,18,"normal_gamma:7;ridge:13","pos_dense50","ridge5",0.065,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,13.05,9,18,"normal_gamma:7;ridge:13","pos_dense50","ridge5",0.07,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.85,10.4,5,16,"hs:17;normal_gamma:2;ridge:1","pos_sparse","ridge5",0.07,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.8,13.3,9,17,"hs:4;normal_gamma:11;ridge:5","pos_dense200","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.75,13.3,9,17,"hs:5;normal_gamma:12;ridge:3","pos_dense200","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.7,10.4,5,16,"hs:14;normal_gamma:5;ridge:1","pos_sparse","ridge5",0.065,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.65,13.3,9,17,"hs:7;normal_gamma:7;ridge:6","pos_dense200","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.65,10.4,5,16,"hs:13;normal_gamma:5;ridge:2","pos_sparse","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.65,10.4,5,16,"hs:13;normal_gamma:5;ridge:2","pos_sparse","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.45,10.4,5,16,"hs:9;normal_gamma:8;ridge:3","pos_sparse","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.4,13.3,9,17,"hs:12;normal_gamma:5;ridge:3","pos_dense200","ridge5",0.065,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.15,13.3,9,17,"hs:17;normal_gamma:2;ridge:1","pos_dense200","ridge5",0.07,"p","olasso",0.5,0.5,"data_likelihood"
