"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"dense",20,1,12,9,16,"normal_gamma:13;ridge:7","dense50_rho0.6","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,12,9,16,"normal_gamma:13;ridge:7","dense50_rho0.6","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,12,9,16,"normal_gamma:13;ridge:7","dense50_rho0.6","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,12,9,16,"normal_gamma:13;ridge:7","dense50_rho0.6","ridge5",0.065,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,12,9,16,"normal_gamma:13;ridge:7","dense50_rho0.6","ridge5",0.07,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,10.2,7,13,"normal_gamma:12;ridge:8","dense50_rho0.7","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,10.2,7,13,"normal_gamma:12;ridge:8","dense50_rho0.7","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,10.2,7,13,"normal_gamma:12;ridge:8","dense50_rho0.7","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,10.2,7,13,"normal_gamma:12;ridge:8","dense50_rho0.7","ridge5",0.065,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,10.2,7,13,"normal_gamma:12;ridge:8","dense50_rho0.7","ridge5",0.07,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.95,14.75,11,18,"hs:1;normal_gamma:14;ridge:5","dense200_rho0.6","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.95,10.7,3,17,"hs:19;normal_gamma:1","sparse_rho0.6","ridge5",0.065,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.95,10.7,3,17,"hs:19;normal_gamma:1","sparse_rho0.6","ridge5",0.07,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.9,10.7,3,17,"hs:18;normal_gamma:2","sparse_rho0.6","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.9,11.65,5,16,"hs:18;normal_gamma:1;ridge:1","sparse_rho0.7","ridge5",0.07,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.85,14.75,11,18,"hs:3;normal_gamma:13;ridge:4","dense200_rho0.6","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.85,14.75,11,18,"hs:3;normal_gamma:11;ridge:6","dense200_rho0.6","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.8,13.2,10,17,"hs:4;normal_gamma:12;ridge:4","dense200_rho0.7","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.75,11.65,5,16,"hs:15;normal_gamma:4;ridge:1","sparse_rho0.7","ridge5",0.065,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.7,13.2,10,17,"hs:6;normal_gamma:11;ridge:3","dense200_rho0.7","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.7,10.7,3,17,"hs:14;normal_gamma:5;ridge:1","sparse_rho0.6","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.65,11.65,5,16,"hs:13;normal_gamma:4;ridge:3","sparse_rho0.7","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.65,11.65,5,16,"hs:13;normal_gamma:5;ridge:2","sparse_rho0.7","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.6,14.75,11,18,"hs:8;normal_gamma:9;ridge:3","dense200_rho0.6","ridge5",0.065,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.6,10.7,3,17,"hs:12;normal_gamma:4;ridge:4","sparse_rho0.6","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.55,11.65,5,16,"hs:11;normal_gamma:6;ridge:3","sparse_rho0.7","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.45,14.75,11,18,"hs:11;normal_gamma:7;ridge:2","dense200_rho0.6","ridge5",0.07,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.45,13.2,10,17,"hs:11;normal_gamma:9","dense200_rho0.7","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.25,13.2,10,17,"hs:15;normal_gamma:5","dense200_rho0.7","ridge5",0.065,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.05,13.2,10,17,"hs:19;normal_gamma:1","dense200_rho0.7","ridge5",0.07,"p","olasso",0.5,0.5,"data_likelihood"
