"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"dense",12,1,13.75,10,18,"normal_gamma:8;ridge:4","dense_50_50_40_weak","ridge5",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,1,13.75,10,18,"normal_gamma:8;ridge:4","dense_50_50_40_weak","ridge5",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,1,13.75,10,18,"normal_gamma:8;ridge:4","dense_50_50_40_weak","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,1,13.75,10,18,"normal_gamma:8;ridge:4","dense_50_50_40_weak","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,0.916666666666667,11.3333333333333,8,13,"hs:1;normal_gamma:10;ridge:1","dense_50_200_60_strong","ridge5",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,0.916666666666667,11.3333333333333,8,13,"hs:1;normal_gamma:10;ridge:1","dense_50_200_60_strong","ridge5",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,0.916666666666667,14.0833333333333,8,17,"hs:1;normal_gamma:4;ridge:7","dense_50_200_60_weak","ridge5",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,0.916666666666667,14.0833333333333,8,17,"hs:1;normal_gamma:5;ridge:6","dense_50_200_60_weak","ridge5",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",12,0.916666666666667,10.3333333333333,8,13,"hs:11;normal_gamma:1","sparse_50_200_10_strong","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,0.833333333333333,14.0833333333333,8,17,"hs:2;normal_gamma:5;ridge:5","dense_50_200_60_weak","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",12,0.833333333333333,10.1666666666667,5,13,"hs:10;normal_gamma:1;ridge:1","sparse_50_200_10_weak","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,0.75,14.0833333333333,8,17,"hs:3;normal_gamma:6;ridge:3","dense_50_200_60_weak","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",12,0.75,10.3333333333333,8,13,"hs:9;normal_gamma:3","sparse_50_200_10_strong","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,0.583333333333333,11.3333333333333,8,13,"hs:5;normal_gamma:7","dense_50_200_60_strong","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",12,0.583333333333333,10.3333333333333,8,13,"hs:7;normal_gamma:4;ridge:1","sparse_50_200_10_strong","ridge5",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",12,0.583333333333333,10.1666666666667,5,13,"hs:7;normal_gamma:1;ridge:4","sparse_50_200_10_weak","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",12,0.333333333333333,10.3333333333333,8,13,"hs:4;normal_gamma:6;ridge:2","sparse_50_200_10_strong","ridge5",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",12,0.333333333333333,10.1666666666667,5,13,"hs:4;normal_gamma:4;ridge:4","sparse_50_200_10_weak","ridge5",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",12,0.333333333333333,10.1666666666667,5,13,"hs:4;normal_gamma:5;ridge:3","sparse_50_200_10_weak","ridge5",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"dense",12,0.25,11.3333333333333,8,13,"hs:9;normal_gamma:3","dense_50_200_60_strong","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
