"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","alpha","beta","selection_score"
"dense",8,1,11,8,13,"normal_gamma:3;ridge:5","dense_50_200_60_strong","ridge",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,1,11,8,13,"normal_gamma:3;ridge:5","dense_50_200_60_strong","ridge",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,1,11,8,13,"normal_gamma:5;ridge:3","dense_50_200_60_strong","ridge_student_t",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,1,11,8,13,"normal_gamma:5;ridge:3","dense_50_200_60_strong","ridge_student_t",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,1,11,8,13,"normal_gamma:5;ridge:3","dense_50_200_60_strong","ridge_student_t",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,1,14,8,17,"normal_gamma:4;ridge:4","dense_50_200_60_weak","ridge",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,1,14,8,17,"normal_gamma:4;ridge:4","dense_50_200_60_weak","ridge",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,1,14,8,17,"normal_gamma:4;ridge:4","dense_50_200_60_weak","ridge",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,1,14,8,17,"normal_gamma:3;ridge:5","dense_50_200_60_weak","ridge_student_t",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,1,14,8,17,"normal_gamma:3;ridge:5","dense_50_200_60_weak","ridge_student_t",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,1,14,8,17,"normal_gamma:3;ridge:5","dense_50_200_60_weak","ridge_student_t",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,1,14,8,17,"normal_gamma:7;ridge:1","dense_50_200_60_weak","ridge5",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,1,14,8,17,"normal_gamma:7;ridge:1","dense_50_200_60_weak","ridge5",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge_student_t",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge_student_t",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge20",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge20",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge5",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge5",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,1,13.875,10,18,"normal_gamma:1;ridge:7","dense_50_50_40_weak","ridge5",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,11,8,13,"hs:1;normal_gamma:2;ridge:5","dense_50_200_60_strong","ridge",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,11,8,13,"hs:1;normal_gamma:5;ridge:2","dense_50_200_60_strong","ridge20",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,11,8,13,"hs:1;normal_gamma:5;ridge:2","dense_50_200_60_strong","ridge20",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,11,8,13,"hs:1;normal_gamma:5;ridge:2","dense_50_200_60_strong","ridge20",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:4;ridge:3","dense_50_200_60_weak","ridge20",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:4;ridge:3","dense_50_200_60_weak","ridge20",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:4;ridge:3","dense_50_200_60_weak","ridge20",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,14,8,17,"hs:1;normal_gamma:6;ridge:1","dense_50_200_60_weak","ridge5",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,13.875,10,18,"hs:1;normal_gamma:1;ridge:6","dense_50_50_40_weak","ridge_student_t",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,0.875,13.875,10,18,"hs:1;normal_gamma:1;ridge:6","dense_50_50_40_weak","ridge20",0.3,"n",0.5,0.5,"beta_prior"
"dense",8,0.75,11,8,13,"hs:2;normal_gamma:4;ridge:2","dense_50_200_60_strong","ridge5",0.2,"n",0.5,0.5,"beta_prior"
"dense",8,0.75,11,8,13,"hs:2;normal_gamma:4;ridge:2","dense_50_200_60_strong","ridge5",0.25,"n",0.5,0.5,"beta_prior"
"dense",8,0.625,11,8,13,"hs:3;normal_gamma:3;ridge:2","dense_50_200_60_strong","ridge5",0.3,"n",0.5,0.5,"beta_prior"
"sparse",8,0.5,9.375,5,13,"hs:4;normal_gamma:4","sparse_50_200_10_weak","ridge5",0.3,"n",0.5,0.5,"beta_prior"
"sparse",8,0.375,10.5,8,13,"hs:3;normal_gamma:3;ridge:2","sparse_50_200_10_strong","ridge5",0.3,"n",0.5,0.5,"beta_prior"
"sparse",8,0.375,9.375,5,13,"hs:3;normal_gamma:5","sparse_50_200_10_weak","ridge5",0.2,"n",0.5,0.5,"beta_prior"
"sparse",8,0.375,9.375,5,13,"hs:3;normal_gamma:5","sparse_50_200_10_weak","ridge5",0.25,"n",0.5,0.5,"beta_prior"
"sparse",8,0.25,10.5,8,13,"hs:2;normal_gamma:4;ridge:2","sparse_50_200_10_strong","ridge5",0.2,"n",0.5,0.5,"beta_prior"
"sparse",8,0.25,10.5,8,13,"hs:2;normal_gamma:4;ridge:2","sparse_50_200_10_strong","ridge5",0.25,"n",0.5,0.5,"beta_prior"
"sparse",8,0.25,9.375,5,13,"hs:2;normal_gamma:2;ridge:4","sparse_50_200_10_weak","ridge",0.2,"n",0.5,0.5,"beta_prior"
"sparse",8,0.25,9.375,5,13,"hs:2;normal_gamma:2;ridge:4","sparse_50_200_10_weak","ridge",0.25,"n",0.5,0.5,"beta_prior"
"sparse",8,0.25,9.375,5,13,"hs:2;normal_gamma:2;ridge:4","sparse_50_200_10_weak","ridge",0.3,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,10.5,8,13,"hs:1;normal_gamma:4;ridge:3","sparse_50_200_10_strong","ridge",0.25,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,10.5,8,13,"hs:1;normal_gamma:4;ridge:3","sparse_50_200_10_strong","ridge",0.3,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,10.5,8,13,"hs:1;normal_gamma:4;ridge:3","sparse_50_200_10_strong","ridge_student_t",0.3,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,10.5,8,13,"hs:1;normal_gamma:7","sparse_50_200_10_strong","ridge20",0.2,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,10.5,8,13,"hs:1;normal_gamma:7","sparse_50_200_10_strong","ridge20",0.25,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,10.5,8,13,"hs:1;normal_gamma:7","sparse_50_200_10_strong","ridge20",0.3,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,9.375,5,13,"hs:1;normal_gamma:5;student_t:2","sparse_50_200_10_weak","ridge_student_t",0.25,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,9.375,5,13,"hs:1;normal_gamma:5;student_t:2","sparse_50_200_10_weak","ridge_student_t",0.3,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,9.375,5,13,"hs:1;normal_gamma:4;ridge:3","sparse_50_200_10_weak","ridge20",0.2,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,9.375,5,13,"hs:1;normal_gamma:4;ridge:3","sparse_50_200_10_weak","ridge20",0.25,"n",0.5,0.5,"beta_prior"
"sparse",8,0.125,9.375,5,13,"hs:1;normal_gamma:4;ridge:3","sparse_50_200_10_weak","ridge20",0.3,"n",0.5,0.5,"beta_prior"
"sparse",8,0,10.5,8,13,"normal_gamma:5;ridge:3","sparse_50_200_10_strong","ridge",0.2,"n",0.5,0.5,"beta_prior"
"sparse",8,0,10.5,8,13,"normal_gamma:4;ridge:3;student_t:1","sparse_50_200_10_strong","ridge_student_t",0.2,"n",0.5,0.5,"beta_prior"
"sparse",8,0,10.5,8,13,"normal_gamma:4;ridge:3;student_t:1","sparse_50_200_10_strong","ridge_student_t",0.25,"n",0.5,0.5,"beta_prior"
"sparse",8,0,9.375,5,13,"normal_gamma:6;student_t:2","sparse_50_200_10_weak","ridge_student_t",0.2,"n",0.5,0.5,"beta_prior"
