"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","alpha","beta","selection_score"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","four_way",0.1,0.5,0.5,"beta_prior"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","four_way",0.1,0.5,0.5,"joint"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","four_way",0.125,0.5,0.5,"beta_prior"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","four_way",0.125,0.5,0.5,"joint"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","four_way",0.15,0.5,0.5,"beta_prior"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","four_way",0.15,0.5,0.5,"joint"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","student_t",0.1,0.5,0.5,"beta_prior"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","student_t",0.1,0.5,0.5,"joint"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","student_t",0.125,0.5,0.5,"beta_prior"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","student_t",0.125,0.5,0.5,"joint"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","student_t",0.15,0.5,0.5,"beta_prior"
"dense",5,1,14.2,12,18,"normal_gamma:5","dense_50_50_40_weak","student_t",0.15,0.5,0.5,"joint"
"sparse",5,1,11.2,9,13,"normal_gamma_sparse:5","sparse_50_200_10_strong","four_way",0.1,0.5,0.5,"beta_prior"
"sparse",5,1,11.2,9,13,"normal_gamma_sparse:5","sparse_50_200_10_strong","four_way",0.1,0.5,0.5,"joint"
"sparse",5,1,11.2,9,13,"normal_gamma_sparse:5","sparse_50_200_10_strong","four_way",0.125,0.5,0.5,"beta_prior"
"sparse",5,1,11.2,9,13,"normal_gamma_sparse:5","sparse_50_200_10_strong","four_way",0.125,0.5,0.5,"joint"
"sparse",5,1,11.2,9,13,"normal_gamma_sparse:5","sparse_50_200_10_strong","four_way",0.15,0.5,0.5,"beta_prior"
"sparse",5,1,11.2,9,13,"normal_gamma_sparse:5","sparse_50_200_10_strong","four_way",0.15,0.5,0.5,"joint"
"sparse",5,1,9.8,7,13,"normal_gamma_sparse:5","sparse_50_200_10_weak","four_way",0.1,0.5,0.5,"beta_prior"
"sparse",5,1,9.8,7,13,"normal_gamma_sparse:5","sparse_50_200_10_weak","four_way",0.1,0.5,0.5,"joint"
"sparse",5,1,9.8,7,13,"normal_gamma_sparse:5","sparse_50_200_10_weak","four_way",0.125,0.5,0.5,"beta_prior"
"sparse",5,1,9.8,7,13,"normal_gamma_sparse:5","sparse_50_200_10_weak","four_way",0.125,0.5,0.5,"joint"
"sparse",5,1,9.8,7,13,"normal_gamma_sparse:5","sparse_50_200_10_weak","four_way",0.15,0.5,0.5,"beta_prior"
"sparse",5,1,9.8,7,13,"normal_gamma_sparse:5","sparse_50_200_10_weak","four_way",0.15,0.5,0.5,"joint"
"sparse",5,1,9.8,7,13,"hs:5","sparse_50_200_10_weak","student_t",0.125,0.5,0.5,"beta_prior"
"sparse",5,1,9.8,7,13,"hs:5","sparse_50_200_10_weak","student_t",0.15,0.5,0.5,"beta_prior"
"sparse",5,1,9.8,7,13,"hs:5","sparse_50_200_10_weak","student_t",0.15,0.5,0.5,"joint"
"dense",5,0.8,14.8,11,17,"hs:1;normal_gamma:4","dense_50_200_60_weak","student_t",0.1,0.5,0.5,"beta_prior"
"dense",5,0.8,14.8,11,17,"hs:1;normal_gamma:4","dense_50_200_60_weak","student_t",0.1,0.5,0.5,"joint"
