"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"dense",20,0.95,11.65,7,17,"hs:1;normal_gamma:13;ridge:6","strong_dense200_uniform","ridge5",0.05,"p","olasso",3,0.5,"data_likelihood"
"dense",20,0.9,11.65,7,17,"hs:2;normal_gamma:12;ridge:6","strong_dense200_uniform","ridge5",0.05,"p","olasso",1,0.5,"data_likelihood"
"dense",20,0.9,11.65,7,17,"hs:2;normal_gamma:12;ridge:6","strong_dense200_uniform","ridge5",0.05,"p","olasso",2,0.5,"data_likelihood"
"dense",20,0.9,11.65,7,17,"hs:2;normal_gamma:12;ridge:6","strong_dense200_uniform","ridge5",0.055,"p","olasso",3,0.5,"data_likelihood"
"dense",20,0.8,11.65,7,17,"hs:4;normal_gamma:10;ridge:6","strong_dense200_uniform","ridge5",0.055,"p","olasso",2,0.5,"data_likelihood"
"dense",20,0.75,11.65,7,17,"hs:5;normal_gamma:10;ridge:5","strong_dense200_uniform","ridge5",0.06,"p","olasso",3,0.5,"data_likelihood"
"sparse",20,0.75,9.4,5,15,"hs:15;normal_gamma:4;ridge:1","strong_sparse_uniform","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.7,9.4,5,15,"hs:14;normal_gamma:4;ridge:2","strong_sparse_uniform","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.7,9.4,5,15,"hs:14;normal_gamma:4;ridge:2","strong_sparse_uniform","ridge5",0.06,"p","olasso",1,0.5,"data_likelihood"
"dense",20,0.65,11.65,7,17,"hs:7;normal_gamma:8;ridge:5","strong_dense200_uniform","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.65,9.4,5,15,"hs:13;normal_gamma:5;ridge:2","strong_sparse_uniform","ridge5",0.055,"p","olasso",1,0.5,"data_likelihood"
"sparse",20,0.65,9.4,5,15,"hs:13;normal_gamma:5;ridge:2","strong_sparse_uniform","ridge5",0.06,"p","olasso",2,0.5,"data_likelihood"
"dense",20,0.6,11.65,7,17,"hs:8;normal_gamma:7;ridge:5","strong_dense200_uniform","ridge5",0.055,"p","olasso",1,0.5,"data_likelihood"
"sparse",20,0.6,9.4,5,15,"hs:12;normal_gamma:5;ridge:3","strong_sparse_uniform","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.55,11.65,7,17,"hs:9;normal_gamma:6;ridge:5","strong_dense200_uniform","ridge5",0.06,"p","olasso",2,0.5,"data_likelihood"
"sparse",20,0.55,9.4,5,15,"hs:11;normal_gamma:8;ridge:1","strong_sparse_uniform","ridge5",0.05,"p","olasso",1,0.5,"data_likelihood"
"sparse",20,0.55,9.4,5,15,"hs:11;normal_gamma:7;ridge:2","strong_sparse_uniform","ridge5",0.05,"p","olasso",2,0.5,"data_likelihood"
"sparse",20,0.55,9.4,5,15,"hs:11;normal_gamma:7;ridge:2","strong_sparse_uniform","ridge5",0.055,"p","olasso",2,0.5,"data_likelihood"
"sparse",20,0.55,9.4,5,15,"hs:11;normal_gamma:7;ridge:2","strong_sparse_uniform","ridge5",0.055,"p","olasso",3,0.5,"data_likelihood"
"sparse",20,0.55,9.4,5,15,"hs:11;normal_gamma:6;ridge:3","strong_sparse_uniform","ridge5",0.06,"p","olasso",3,0.5,"data_likelihood"
"dense",20,0.45,11.65,7,17,"hs:11;normal_gamma:6;ridge:3","strong_dense200_uniform","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.4,11.65,7,17,"hs:12;normal_gamma:6;ridge:2","strong_dense200_uniform","ridge5",0.06,"p","olasso",1,0.5,"data_likelihood"
"sparse",20,0.4,9.4,5,15,"hs:8;normal_gamma:8;ridge:4","strong_sparse_uniform","ridge5",0.05,"p","olasso",3,0.5,"data_likelihood"
"dense",20,0.3,11.65,7,17,"hs:14;normal_gamma:5;ridge:1","strong_dense200_uniform","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
