"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"dense",20,1,11.65,7,17,"normal_gamma:13;ridge:7","strong_dense200_uniform","ridge",0.03,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,11.65,7,17,"normal_gamma:4;ridge:16","strong_dense200_uniform","ridge20",0.03,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:11;ridge:9","strong_dense50_uniform","ridge",0.03,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:3;ridge:17","strong_dense50_uniform","ridge",0.03,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:11;ridge:9","strong_dense50_uniform","ridge",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:2;ridge:18","strong_dense50_uniform","ridge",0.04,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:11;ridge:9","strong_dense50_uniform","ridge",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:2;ridge:18","strong_dense50_uniform","ridge",0.05,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:12;ridge:8","strong_dense50_uniform","ridge",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:2;ridge:18","strong_dense50_uniform","ridge",0.06,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:11;ridge:9","strong_dense50_uniform","ridge20",0.03,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:4;ridge:16","strong_dense50_uniform","ridge20",0.03,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:12;ridge:8","strong_dense50_uniform","ridge20",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:4;ridge:16","strong_dense50_uniform","ridge20",0.04,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:12;ridge:8","strong_dense50_uniform","ridge20",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:4;ridge:16","strong_dense50_uniform","ridge20",0.05,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:12;ridge:8","strong_dense50_uniform","ridge20",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:4;ridge:16","strong_dense50_uniform","ridge20",0.06,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:8;ridge:12","strong_dense50_uniform","ridge5",0.03,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:7;ridge:13","strong_dense50_uniform","ridge5",0.03,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:8;ridge:12","strong_dense50_uniform","ridge5",0.04,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,1,8.75,5,12,"normal_gamma:7;ridge:13","strong_dense50_uniform","ridge5",0.04,"p","olasso",0.5,0.5,"beta_prior"
"dense",20,1,8.75,5,12,"normal_gamma:8;ridge:12","strong_dense50_uniform","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
