"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","sparsity_reference","screening_method","alpha","beta","selection_score"
"sparse",20,0.9,9.35,5,13,"hs:18;normal_gamma:1;ridge:1","sparse_snr6","ridge20",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.9,9.35,5,13,"hs:18;normal_gamma:1;ridge:1","sparse_snr6","ridge20",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.8,11.4,7,17,"hs:4;normal_gamma:11;ridge:5","dense_snr6","ridge5",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.8,9.35,5,13,"hs:16;normal_gamma:3;ridge:1","sparse_snr6","ridge20",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.75,11.4,7,17,"hs:5;normal_gamma:3;ridge:12","dense_snr6","ridge20",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.75,9.35,5,13,"hs:15;normal_gamma:2;ridge:3","sparse_snr6","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.75,9.35,5,13,"hs:15;normal_gamma:2;ridge:3","sparse_snr6","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.7,9.35,5,13,"hs:14;normal_gamma:2;ridge:4","sparse_snr6","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.65,11.4,7,17,"hs:7;normal_gamma:8;ridge:5","dense_snr6","ridge5",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.6,11.4,7,17,"hs:8;normal_gamma:3;ridge:9","dense_snr6","ridge20",0.05,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.6,9.35,5,13,"hs:12;normal_gamma:6;ridge:2","sparse_snr6","ridge20",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"sparse",20,0.55,9.35,5,13,"hs:11;normal_gamma:5;ridge:4","sparse_snr6","ridge5",0.045,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.4,11.4,7,17,"hs:12;normal_gamma:2;ridge:6","dense_snr6","ridge20",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.3,11.4,7,17,"hs:14;normal_gamma:2;ridge:4","dense_snr6","ridge20",0.06,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.3,11.4,7,17,"hs:14;normal_gamma:3;ridge:3","dense_snr6","ridge5",0.055,"p","olasso",0.5,0.5,"data_likelihood"
"dense",20,0.25,11.4,7,17,"hs:15;normal_gamma:2;ridge:3","dense_snr6","ridge5",0.06,"p","olasso",0.5,0.5,"data_likelihood"
