"target","n","correct_rate","active_mean","active_min","active_max","winners","case","candidate_set","threshold","alpha","beta","selection_score"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.06,0.5,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.06,1,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.06,0.5,1,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.075,0.5,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.075,1,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.075,0.5,1,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.09,0.5,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.09,1,0.5,"beta_prior"
"dense",10,1,13.5,10,18,"normal_gamma:10","dense_50_50_40_weak","student_t",0.09,0.5,1,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.06,0.5,0.5,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.06,1,0.5,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.06,0.5,1,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.075,0.5,0.5,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.075,1,0.5,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.075,0.5,1,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.09,0.5,0.5,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.09,1,0.5,"beta_prior"
"dense",10,0.9,14.1,8,17,"hs:1;normal_gamma:9","dense_50_200_60_weak","student_t",0.09,0.5,1,"beta_prior"
"dense",10,0.7,11,8,13,"hs:3;normal_gamma:7","dense_50_200_60_strong","student_t",0.06,0.5,0.5,"beta_prior"
"dense",10,0.7,11,8,13,"hs:3;normal_gamma:7","dense_50_200_60_strong","student_t",0.06,1,0.5,"beta_prior"
"dense",10,0.7,11,8,13,"hs:3;normal_gamma:7","dense_50_200_60_strong","student_t",0.06,0.5,1,"beta_prior"
"sparse",10,0.6,10.3,8,13,"hs:6;normal_gamma:3;student_t:1","sparse_50_200_10_strong","student_t",0.09,0.5,0.5,"beta_prior"
"sparse",10,0.6,10.3,8,13,"hs:6;normal_gamma:3;student_t:1","sparse_50_200_10_strong","student_t",0.09,0.5,1,"beta_prior"
"dense",10,0.5,11,8,13,"hs:5;normal_gamma:5","dense_50_200_60_strong","student_t",0.075,1,0.5,"beta_prior"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.06,0.5,0.5,"beta_prior"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.06,1,0.5,"beta_prior"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.06,0.5,1,"beta_prior"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.075,0.5,0.5,"beta_prior"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.075,1,0.5,"beta_prior"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.075,0.5,1,"beta_prior"
"sparse",10,0.5,10.3,8,13,"hs:5;normal_gamma:4;student_t:1","sparse_50_200_10_strong","student_t",0.09,1,0.5,"beta_prior"
"dense",10,0.4,11,8,13,"hs:6;normal_gamma:4","dense_50_200_60_strong","student_t",0.075,0.5,0.5,"beta_prior"
